Företagsnamn;Org.nr;Telefon;Adress
"NärCon Eventbyrå AB";"556903-0827";"073-739 02 49";"Regeringsgatan 109, 111 39 Stockholm"
"Eventbyrån i Malmö Aktiebolag";"556691-5004";"040-664 28 20";"Geijersgatan 2 s, 216 18 Limhamn"
"Eventbyrån Partykompaniet i Sverige AB";"559061-6115";"";"Karlsrovägen 9, 394 70 Kalmar"
"Mirati Eventbyrå AB";"559493-6360";"";"Larsbergsvägen 50, 181 39 Lidingö"
"Wahrlings Eventbyrå AB";"559077-9962";"073-973 11 35";"Blekingegatan 48, 116 62 Stockholm"
"Söderåsen Projekt & Eventbyrå AB";"559328-4226";"";"Västra Maglabyväg 318, 265 72 Kvidinge"
"Eventbyrån Logistik & Affärssystem i Värnamo AB";"559299-9378";"";"Hallavaravägen, 269 91 Båstad"
"Heja Eventbyrå AB";"556689-8762";"";"Kungsgatan 63 d, 903 26 Umeå"
"Eventbyrån-Alexandra Zazzi";"660607-XXXXRegistrerad verksamhet";"";"c/o A Zazzi, Hornsbergsstrand 31, 112 16 Stockholm"
"Vocal Arts A.I. Eventbyrå";"700304-XXXXRegistrerad verksamhet";"";"c/o Annelie Iggström, Hemdalsvägen 16 b, 723 34 Västerås"
"K Ahlm Foto & Eventbyrå";"881231-XXXXRegistrerad verksamhet";"";"c/o Kristoffer Ahlm, Bofinksvägen 18 b, 906 51 Umeå"
"Anna o Anna Reklam- och Eventbyrå AB";"556703-7063";"076-644 33 21";"Industrigatan 34, 295 39 Bromölla"
